"ID";"WijkenEnBuurten";"Codering_3";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"16888";"BU02990013";"BU02990013";"      20";"      70";"      20"
"16889";"BU02990014";"BU02990014";"     100";"     260";"      90"
"16890";"BU02990015";"BU02990015";"     170";"     330";"     330"
"16891";"BU02990016";"BU02990016";"     190";"     660";"     570"
"16892";"BU02990017";"BU02990017";"      30";"      60";"      30"
"16893";"BU02990018";"BU02990018";"       .";"       .";"       ."
"16894";"WK029901  ";"WK029901  ";"     570";"     850";"     300"
"16895";"BU02990100";"BU02990100";"     370";"     600";"     170"
"16896";"BU02990101";"BU02990101";"     100";"     120";"      60"
"16897";"BU02990102";"BU02990102";"     100";"     130";"      70"
"16898";"WK029902  ";"WK029902  ";"     280";"     560";"     300"
"16899";"BU02990200";"BU02990200";"     240";"     430";"     270"
"16900";"BU02990201";"BU02990201";"      40";"     120";"      30"
"16901";"WK029903  ";"WK029903  ";"     830";"    1260";"     710"
"16902";"BU02990300";"BU02990300";"     670";"     980";"     440"
"16903";"BU02990301";"BU02990301";"      40";"      50";"      20"
"16904";"BU02990302";"BU02990302";"     100";"     220";"     260"
"16905";"WK029904  ";"WK029904  ";"      90";"     180";"     130"
"16906";"BU02990400";"BU02990400";"      90";"     180";"     130"
"16907";"WK029905  ";"WK029905  ";"      30";"      30";"      20"
"16908";"BU02990500";"BU02990500";"      30";"      30";"      20"
"16909";"WK029906  ";"WK029906  ";"     700";"     820";"     310"
"16910";"BU02990600";"BU02990600";"     660";"     750";"     280"
"16911";"BU02990601";"BU02990601";"      50";"      70";"      30"
"16912";"WK029907  ";"WK029907  ";"     250";"     270";"     140"
"16913";"BU02990700";"BU02990700";"      30";"      40";"      50"
"16914";"BU02990701";"BU02990701";"     210";"     220";"      90"
"16915";"WK029908  ";"WK029908  ";"     300";"     390";"     150"
"16916";"BU02990800";"BU02990800";"     260";"     300";"      70"
"16917";"BU02990801";"BU02990801";"      40";"      90";"      80"
"16918";"WK029909  ";"WK029909  ";"    1020";"    1120";"     230"
"16919";"BU02990900";"BU02990900";"    1020";"    1120";"     230"
"16920";"WK029910  ";"WK029910  ";"     730";"    1060";"     340"
"16921";"BU02991000";"BU02991000";"       .";"       .";"       ."
"16922";"BU02991001";"BU02991001";"       .";"       .";"       ."
"16923";"WK029911  ";"WK029911  ";"     210";"     260";"      80"
"16924";"BU02991100";"BU02991100";"     150";"     200";"      60"
"16925";"BU02991101";"BU02991101";"      60";"      60";"      30"
"16926";"GM0637    ";"GM0637    ";"   25860";"   41220";"   28100"
"16927";"WK063700  ";"WK063700  ";"    4410";"    7200";"    3950"
"16928";"BU06370001";"BU06370001";"     920";"    1840";"    1000"
"16929";"BU06370002";"BU06370002";"     990";"    1510";"     950"
"16930";"BU06370003";"BU06370003";"    1180";"    1670";"     760"
"16931";"BU06370004";"BU06370004";"    1310";"    2180";"    1250"
"16932";"WK063701  ";"WK063701  ";"    3580";"    4970";"    2610"
"16933";"BU06370100";"BU06370100";"    2120";"    3020";"    1620"
"16934";"BU06370101";"BU06370101";"    1460";"    1950";"     990"
"16935";"WK063702  ";"WK063702  ";"    3940";"    6040";"    4810"
"16936";"BU06370200";"BU06370200";"    2400";"    3310";"    2090"
"16937";"BU06370201";"BU06370201";"    1570";"    2740";"    2690"
"16938";"WK063703  ";"WK063703  ";"    3560";"    5820";"    3450"
"16939";"BU06370300";"BU06370300";"    1540";"    2580";"    1620"
"16940";"BU06370301";"BU06370301";"    2020";"    3240";"    1840"
"16941";"WK063704  ";"WK063704  ";"    1830";"    3020";"    1900"
"16942";"BU06370400";"BU06370400";"     680";"    1230";"     600"
"16943";"BU06370401";"BU06370401";"    1150";"    1790";"    1300"
"16944";"WK063705  ";"WK063705  ";"    3700";"    6860";"    5420"
"16945";"BU06370500";"BU06370500";"    1440";"    2500";"    2150"
"16946";"BU06370501";"BU06370501";"    2260";"    4370";"    3260"
"16947";"WK063706  ";"WK063706  ";"    4700";"    7120";"    5600"
"16948";"BU06370600";"BU06370600";"    1450";"    2050";"    1680"
"16949";"BU06370601";"BU06370601";"    3250";"    5070";"    3920"
"16950";"WK063708  ";"WK063708  ";"     100";"     130";"     120"
"16951";"BU06370800";"BU06370800";"      40";"      30";"      60"
"16952";"BU06370801";"BU06370801";"      20";"      30";"      30"
"16953";"BU06370802";"BU06370802";"      10";"      20";"      10"
"16954";"BU06370803";"BU06370803";"      30";"      60";"      30"
"16955";"WK063709  ";"WK063709  ";"      50";"      80";"     180"
"16956";"BU06370902";"BU06370902";"       .";"       .";"       ."
"16957";"BU06370903";"BU06370903";"      20";"      20";"      60"
